email,name,attribs
mairieabergementclemenciat@gmail.com,L'ABERGEMENT-CLÉMENCIAT,"{""nom_commune"": ""L'ABERGEMENT-CLÉMENCIAT"", ""departement_numero"": ""1"", ""zipcode"": ""01400"", ""population_commune"": ""780"", ""code_insee"": ""1001"", ""city"": ""L'ABERGEMENT-CLÉMENCIAT"", ""state"": ""AIN""}"
mairie@abergement-de-varey.fr,L'ABERGEMENT-DE-VAREY,"{""nom_commune"": ""L'ABERGEMENT-DE-VAREY"", ""departement_numero"": ""1"", ""zipcode"": ""01640"", ""population_commune"": ""234"", ""code_insee"": ""1002"", ""city"": ""L'ABERGEMENT-DE-VAREY"", ""state"": ""AIN""}"
accueil@ville-amberieu.fr,AMBÉRIEU-EN-BUGEY,"{""nom_commune"": ""AMBÉRIEU-EN-BUGEY"", ""departement_numero"": ""1"", ""zipcode"": ""01504"", ""population_commune"": ""13839"", ""code_insee"": ""1004"", ""city"": ""AMBÉRIEU-EN-BUGEY"", ""state"": ""AIN""}"
mairie@amberieux-en-dombes.fr,AMBÉRIEUX-EN-DOMBES,"{""nom_commune"": ""AMBÉRIEUX-EN-DOMBES"", ""departement_numero"": ""1"", ""zipcode"": ""01330"", ""population_commune"": ""1600"", ""code_insee"": ""1005"", ""city"": ""AMBÉRIEUX-EN-DOMBES"", ""state"": ""AIN""}"
commune-ambleon@wanadoo.fr,AMBLÉON,"{""nom_commune"": ""AMBLÉON"", ""departement_numero"": ""1"", ""zipcode"": ""01300"", ""population_commune"": ""112"", ""code_insee"": ""1006"", ""city"": ""AMBLÉON"", ""state"": ""AIN""}"
accueil@ambronay.fr,AMBRONAY,"{""nom_commune"": ""AMBRONAY"", ""departement_numero"": ""1"", ""zipcode"": ""01500"", ""population_commune"": ""2365"", ""code_insee"": ""1007"", ""city"": ""AMBRONAY"", ""state"": ""AIN""}"
mairie.ambutrix@wanadoo.fr,AMBUTRIX,"{""nom_commune"": ""AMBUTRIX"", ""departement_numero"": ""1"", ""zipcode"": ""01500"", ""population_commune"": ""734"", ""code_insee"": ""1008"", ""city"": ""AMBUTRIX"", ""state"": ""AIN""}"
mairie@andertetcondon.fr,ANDERT-ET-CONDON,"{""nom_commune"": ""ANDERT-ET-CONDON"", ""departement_numero"": ""1"", ""zipcode"": ""01300"", ""population_commune"": ""339"", ""code_insee"": ""1009"", ""city"": ""ANDERT-ET-CONDON"", ""state"": ""AIN""}"
mairie.anglefort@gmail.com,ANGLEFORT,"{""nom_commune"": ""ANGLEFORT"", ""departement_numero"": ""1"", ""zipcode"": ""01350"", ""population_commune"": ""1031"", ""code_insee"": ""1010"", ""city"": ""ANGLEFORT"", ""state"": ""AIN""}"
mairie@apremont-ain.fr,APREMONT,"{""nom_commune"": ""APREMONT"", ""departement_numero"": ""1"", ""zipcode"": ""01100"", ""population_commune"": ""374"", ""code_insee"": ""1011"", ""city"": ""APREMONT"", ""state"": ""AIN""}"
